Model,Price,Mileage,Year,Engine_Size,Make_BMW,Make_Honda,Make_Hyundai,Make_Maruti,Make_Toyota,Fuel_Type_Petrol,Transmission_Manual,Condition_Fair,Condition_Good
Swift,500000.0,0.972569209231046,-0.016933754901260378,-0.8032171438632677,False,False,False,True,False,True,True,False,True
i20,700000.0,-0.294939534628964,0.2765846633874753,-0.5320009654159307,False,False,True,False,False,False,True,False,False
City,900000.0,0.6556920232660435,0.12982545424310746,-0.396392876192262,False,True,False,False,False,True,False,False,True
Fortuner,3500000.0,-0.928693906558969,0.42334387253184314,1.3665122837154289,False,False,False,False,True,False,False,False,True
X5,6000000.0,-1.2455710925239714,0.5701030816762109,1.6377284621627661,True,False,False,False,False,True,False,False,False
A4,4500000.0,-0.6118167205939665,0.7168622908205788,-0.396392876192262,False,False,False,False,False,False,False,False,True
Baleno,900000.0,-0.13650094164646276,0.20320505881529138,-0.8032171438632677,False,False,False,True,False,True,True,True,False
Creta,800000.0,0.33881483730104095,0.20320505881529138,-0.396392876192262,False,False,True,False,False,True,True,False,True
Innova,900000.0,1.2894463951960484,-0.016933754901260378,0.8240799268207548,False,False,False,False,True,True,False,False,True
X3,5500000.0,-1.0554447809449699,0.2765846633874753,1.6377284621627661,True,False,False,False,False,False,False,False,False
A6,99999999.0,-0.8019430321729679,0.42334387253184314,0.2816475699260807,False,False,False,False,False,True,False,False,True
Alto,400000.0,2.2400779530910557,-3.3923955652217206,-1.3456495007579417,False,False,False,True,False,True,True,True,False
Venue,750000.0,-0.42169040901496496,0.20320505881529138,-1.0744333223106046,False,False,True,False,False,False,True,False,False
